"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"14" -4078.09147039862 -3999.43747089674 -4030.6334127063 -4062.52171930157 -4055.11122006159 -4019.8760502133 -4031.57379826629 -3989.88587485627 -4087.26076618174 -4004.78450666385 -4056.66028592928 -4087.92285398062 -4090.51030649585 -4069.52553586201 -4042.23024271612 -4067.03734074728 -4040.48494334528 -4078.37324227609 -3986.08672970324 -4072.90905997512
"15" -4077.43161065124 -3997.02796947287 -4028.8514865017 -4061.62579926118 -4051.73699315085 -4018.28172683982 -4028.50311586197 -3988.3633840859 -4085.57662701275 -4002.69302199935 -4056.57792231453 -4087.23936316356 -4089.16648595511 -4069.33720375234 -4035.37008164519 -4063.83589298932 -4038.8713575732 -4078.17248626586 -3984.51463377849 -4071.22948408656
"16" -4076.91828645919 -3995.31246870355 -4027.27798039924 -4060.7025415895 -4049.36471827892 -4016.91755334611 -4024.6135136103 -3987.2344560498 -4083.70318678631 -4001.37819526781 -4056.50567076106 -4086.55899412869 -4087.98148404316 -4069.16498974394 -4029.36782301758 -4061.07460978461 -4037.22902186577 -4077.98758624526 -3983.38802875751 -4069.42310116077
"17" -4076.50866056663 -3994.03862001474 -4025.88203816643 -4059.72671352378 -4047.68363081889 -4015.75008861484 -4019.82716602627 -3986.36356604653 -4081.54221586043 -4000.47267928001 -4056.44046779417 -4085.85554309508 -4086.87605636325 -4069.00615294169 -4024.96477715413 -4058.67044695752 -4035.53892990438 -4077.81236825522 -3982.5380542794 -4067.44181593066
"18" -4076.17235576469 -3993.05233819731 -4024.65011417592 -4058.67187656237 -4046.45520196137 -4014.74960013127 -4014.32857347788 -3985.67002855276 -4079.00703321526 -3999.7863752562 -4056.38006263483 -4085.10208658811 -4085.79793570361 -4068.85852545416 -4022.16251669097 -4056.56470610795 -4033.78774030802 -4077.64270495834 -3981.86997410766 -4065.24799154173
"19" -4075.88811780523 -3992.26354517592 -4023.57472642078 -4057.50805582367 -4045.52531839517 -4013.89029672326 -4008.67997898897 -3985.10459052161 -4076.04649268563 -3999.22953238616 -4056.32275404743 -4084.2706221131 -4084.70866407184 -4068.72031337708 -4020.4870840215 -4054.72488635642 -4031.96864719333 -4077.4757843797 -3981.32864863206 -4062.82177004636
"20" -4075.64099112857 -3991.61715038585 -4022.64541668 -4056.20022477159 -4044.79921673688 -4013.15054402613 -4003.66394572257 -3984.63532530036 -4072.68098676936 -3998.75844764448 -4056.26721128065 -4083.33214938798 -4083.57674379995 -4068.58998437985 -4019.45419723173 -4053.1352219175 -4030.08313409171 -4077.30974389911 -3980.87960209842 -4060.1725473248
"21" -4075.42025329764 -3991.07688634213 -4021.84711614392 -4054.70800772729 -4044.21788426661 -4012.51210006832 -3999.84575076239 -3984.2401996319 -4069.03520395957 -3998.34955977037 -4056.21235119261 -4082.25636351253 -4082.37433961842 -4068.46620235457 -4018.75695035671 -4051.78479525366 -4028.1428501688 -4077.14341260481 -3980.49980819639 -4057.35128154326
"22" -4075.21800668326 -3990.61737460025 -4021.16284718831 -4052.9870439512 -4043.74289678246 -4011.95947036543 -3997.28475381282 -3983.90325378374 -4065.33523905455 -3997.98861868299 -4056.15725274483 -4081.01222244448 -4081.07639591733 -4068.34779078332 -4018.23814326479 -4050.65924575208 -4026.1702451057 -4076.97595321516 -3980.17317295307 -4054.45645631583
"23" -4075.02825055644 -3990.22018254573 -4020.57635207032 -4050.99251562554 -4043.34791178203 -4011.47960133126 -3995.67623030413 -3983.61254927482 -4061.84562068128 -3997.66617602975 -4056.10109615766 -4079.57019548123 -4079.66164474455 -4068.23371716591 -4017.82268938838 -4049.73780058976 -4024.19592208054 -4076.80629785511 -3979.88812905309 -4051.62463367997
